code,player_id,name,full_name,position,club,club_id,price,status,chance,news,ownership,ep_next,penalties_order,set_piece_order,prior_club,history,ls_minutes,ls_points,ls_starts,ls_xgi,ls_clean_sheets,dc_per_90,team_strength,fdr_gw1,fdr_next5,gw1_opp,gw1_home,pp90,xgi90,xgi_implied_pp90,dc_points_per_90,rate_per_90,reliability,minutes_per_start,start_share,proj_minutes,available,fixture_mult,fdr_blend,xp,xp_per_million
449027,351,Mamardashvili,Giorgi Mamardashvili,GKP,Liverpool,14,5.0,a,,,0.2,2.6,,,Liverpool,full,867.0,34.0,10.0,0.0,2.0,0.0,4.0,3,2.6,NEW,False,3.5294117647058822,0.0,,0.0,3.6379153802417856,0.4906621392190153,86.7,0.48311142882673563,41.88576087927798,True,1.0168,2.7600000000000002,1.7215198317586826,0.34430396635173655
155503,352,Woodman,Freddie Woodman,GKP,Liverpool,14,4.0,a,,,1.2,1.0,,,Liverpool,full,212.0,6.0,2.0,0.0,0.0,0.0,4.0,3,2.6,NEW,False,2.547169811320755,0.0,,0.0,3.6379153802417856,0.1906474820143885,,0.2568865959863688,5.578947368421052,True,1.0168,2.7600000000000002,0.2292967426986923,0.057324185674673074
586268,353,Pecsi,Armin Pecsi,GKP,Liverpool,14,4.0,a,,,0.1,1.0,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.6379153802417856,0.0,,0.305,28.940624999999997,True,1.0168,2.7600000000000002,1.18947009282191,0.2973675232054775
432987,354,Jaros,Vitezslav Jaros,GKP,Liverpool,14,4.0,a,,,0.1,1.0,,,,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.6379153802417856,0.0,,0.305,28.940624999999997,True,1.0168,2.7600000000000002,1.18947009282191,0.2973675232054775
464353,355,Davies,Harvey Davies,GKP,Liverpool,14,4.0,a,,,0.1,1.0,,,,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.6379153802417856,0.0,,0.305,28.940624999999997,True,1.0168,2.7600000000000002,1.18947009282191,0.2973675232054775
97032,356,Virgil,Virgil van Dijk,DEF,Liverpool,14,6.5,a,,,15.3,3.1,,,Liverpool,full,3420.0,175.0,38.0,5.21,10.0,9.263157894736842,4.0,3,2.6,NEW,False,4.605263157894736,0.13710526315789476,4.122106617864086,1.8526315789473684,4.42629543763149,0.7916666666666666,90.0,0.9569746376811594,86.12771739130434,True,1.0168,2.7600000000000002,4.3070147942384756,0.6626176606520732
216094,357,Frimpong,Jeremie Frimpong,DEF,Liverpool,14,5.5,a,,,3.0,2.5,,,Liverpool,full,1032.0,63.0,12.0,2.05,5.0,2.6162790697674416,4.0,3,2.6,NEW,False,5.4941860465116275,0.17877906976744184,4.388641962384675,0.5232558139534883,4.287725466760401,0.5341614906832298,86.0,0.5102130918032322,43.878325895077964,True,1.0168,2.7600000000000002,2.125543748861196,0.3864624997929447
544877,358,Kerkez,Milos Kerkez,DEF,Liverpool,14,5.5,a,,,6.7,2.5,,,Liverpool,full,2251.0,85.0,27.0,2.19,6.0,5.357618836072857,4.0,3,2.6,NEW,False,3.3984895601954688,0.08756108396268325,3.8052343197678438,1.0715237672145714,3.5594098752771055,0.7143763884481117,83.37037037037037,0.7169887951011883,59.77562139899166,True,1.0168,2.7600000000000002,2.4037822761313046,0.43705132293296445
171287,359,Gomez,Joe Gomez,DEF,Liverpool,14,5.0,a,,,0.2,2.2,,,Liverpool,full,594.0,33.0,7.0,0.92,2.0,6.969696969696969,4.0,3,2.6,NEW,False,5.0,0.1393939393939394,4.13674442416735,1.3939393939393938,4.223809683772098,0.39759036144578314,84.85714285714286,0.4530203192633232,38.44200994891629,True,1.0168,2.7600000000000002,1.8344397668353218,0.36688795336706437
492777,360,Bradley,Conor Bradley,DEF,Liverpool,14,5.0,i,0.0,Knee injury - Expected back 31 Dec,0.0,0.0,,,Liverpool,full,928.0,42.0,12.0,1.02,4.0,6.303879310344827,4.0,3,2.6,NEW,False,4.073275862068965,0.09892241379310346,3.8778985711748506,1.2607758620689655,3.9366569594980865,0.5076586433260394,77.33333333333333,0.4707023719511889,0.0,False,1.0168,2.7600000000000002,0.0,0.0
